"","age","job","education","month","day_of_week","duration","campaign","pdays","previous","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",56,"housemaid","basic.4y","may","mon",261,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"2",37,"services","high.school","may","mon",226,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"3",40,"admin.","basic.6y","may","mon",151,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"4",56,"services","high.school","may","mon",307,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"5",59,"admin.","professional.course","may","mon",139,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"6",24,"technician","professional.course","may","mon",380,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"7",25,"services","high.school","may","mon",50,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"8",25,"services","high.school","may","mon",222,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"9",29,"blue-collar","high.school","may","mon",137,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"10",57,"housemaid","basic.4y","may","mon",293,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"11",35,"blue-collar","basic.6y","may","mon",146,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"12",35,"blue-collar","basic.6y","may","mon",312,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"13",50,"blue-collar","basic.9y","may","mon",353,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"14",30,"unemployed","high.school","may","mon",38,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"15",55,"retired","high.school","may","mon",342,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"16",41,"technician","high.school","may","mon",181,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"17",37,"admin.","high.school","may","mon",172,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"18",35,"technician","university.degree","may","mon",99,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"19",54,"blue-collar","basic.4y","may","mon",208,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"20",34,"services","high.school","may","mon",365,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"21",52,"technician","basic.9y","may","mon",1666,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"22",41,"admin.","university.degree","may","mon",577,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"23",56,"technician","basic.4y","may","mon",137,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"24",32,"entrepreneur","high.school","may","mon",314,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"25",38,"admin.","professional.course","may","mon",160,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"26",57,"admin.","university.degree","may","mon",212,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"27",57,"admin.","university.degree","may","mon",616,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"28",40,"blue-collar","basic.9y","may","mon",178,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"29",35,"admin.","university.degree","may","mon",355,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"30",45,"blue-collar","basic.9y","may","mon",225,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"31",54,"admin.","high.school","may","mon",160,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"32",39,"housemaid","basic.4y","may","mon",266,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"33",60,"admin.","high.school","may","mon",253,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"34",53,"admin.","professional.course","may","mon",179,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"35",25,"technician","university.degree","may","mon",174,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"36",51,"blue-collar","basic.9y","may","mon",812,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"37",48,"admin.","high.school","may","mon",357,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"38",37,"admin.","university.degree","may","mon",232,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"39",44,"blue-collar","basic.9y","may","mon",91,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"40",56,"admin.","basic.9y","may","mon",158,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"41",41,"management","basic.6y","may","mon",200,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"42",44,"management","university.degree","may","mon",172,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"43",55,"technician","university.degree","may","mon",349,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"44",38,"technician","university.degree","may","mon",20,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"45",31,"admin.","high.school","may","mon",246,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"46",41,"management","basic.6y","may","mon",529,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"47",39,"admin.","university.degree","may","mon",192,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"48",49,"technician","basic.9y","may","mon",1467,1,999,0,1.1,93.994,-36.4,4.857,5191,"yes"
"49",34,"admin.","high.school","may","mon",188,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"50",35,"admin.","university.degree","may","mon",180,2,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"51",33,"unemployed","basic.9y","may","mon",545,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"52",42,"blue-collar","basic.6y","may","mon",583,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"53",45,"services","professional.course","may","mon",221,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"54",42,"management","university.degree","may","mon",426,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"55",37,"technician","professional.course","may","mon",197,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"56",44,"blue-collar","basic.6y","may","mon",257,1,999,0,1.1,93.994,-36.4,4.857,5191,"no"
"57",49,"blue-collar","basic.4y","may","mon",55,3,999,0,1.1,93.994,-36.4,4.857,5191,"no"
