StationNumber,Lat,Lon,Address,State,City,County,Zip
690190,32.433,-99.85,"Dyess AFB, Tye, TX 79563, USA",TX,Tye,Taylor County,79563
690190,32.417,-99.85,"Squadron Ops No 3, Tye, TX 79563, USA",TX,Tye,Taylor County,79563
720150,31.92,-98.6,"375 Co Rd 401, Comanche, TX 76442, USA",TX,Comanche,Comanche County,76442
720281,34.226,-99.284,"Vernon, TX 76384, USA",TX,Vernon,,76384
720302,33.593,-95.064,"608 FM 909, Clarksville, TX 75426, USA",TX,Clarksville,Red River County,75426
720316,27.779,-97.691,"957 Wings Dr, Robstown, TX 78380, USA",TX,Robstown,Nueces County,78380
720391,28.35,-97.717,"3847 US-181, Beeville, TX 78102, USA",TX,Beeville,Bee County,78102
720393,34.858,-102.326,"4169 US-60, Hereford, TX 79045, USA",TX,Hereford,Deaf Smith County,79045
720395,28.954,-98.52,"Pleasanton Municipal Airport (PEZ), Pleasanton, TX 78064, USA",TX,Pleasanton,Atascosa County,78064
720396,27.913,-97.212,"3149 FM3512, Aransas Pass, TX 78336, USA",TX,Aransas Pass,San Patricio County,78336
720403,33.858,-98.49,"5001 Ditto Ln, Wichita Falls, TX 76302, USA",TX,Wichita Falls,Wichita County,76302
720542,30.5,-97.967,"9411 Rolling Hills Trail, Lago Vista, TX 78645, USA",TX,Lago Vista,Travis County,78645
720579,29.342,-98.851,"Castroville Municipal Airport, 10501 Airport Rd, Castroville, TX 78009, USA",TX,Castroville,Medina County,78009
720577,32.15,-94.85,"3303 FM 13, Henderson, TX 75654, USA",TX,Henderson,Rusk County,75654
720578,32.719,-98.891,"Unnamed Road, Breckenridge, TX 76424, USA",TX,Breckenridge,Stephens County,76424
720584,26.967,-99.25,"246 Airport Rd, Zapata, TX 78076, USA",TX,Zapata,Zapata County,78076
720594,29.717,-95.383,"3 Hermann Museum Cir Dr, Houston, TX 77004, USA",TX,Houston,Harris County,77004
720617,29.8,-95.9,"1896 Cardiff Rd, Brookshire, TX 77423, USA",TX,Brookshire,Waller County,77423
720622,33.602,-97.776,"Air Port Rd, Bowie, TX 76230, USA",TX,Bowie,Montague County,76230
720626,35.883,-101.033,"Pampa, TX 79065, USA",TX,Pampa,,79065
720637,29.506,-95.477,"919 McKeever Rd, Arcola, TX 77583, USA",TX,Arcola,Fort Bend County,77583
720648,30.395,-97.567,"15012 Gregg Ln, Manor, TX 78653, USA",TX,Manor,Travis County,78653
720659,30.735,-101.203,"Airport Rd, Ozona, TX 76943, USA",TX,Ozona,Crockett County,76943
720733,29.724,-98.695,"36 Boerne Stage Airfield, Boerne, TX 78006, USA",TX,Boerne,Bexar County,78006
720742,28.209,-100.019,"Carrizo Springs, TX 78834, USA",TX,Carrizo Springs,,78834
720743,26.067,-97.15,"Brownsville, TX 78521, USA",TX,Brownsville,Cameron County,78521
720771,31.841,-99.404,"Coleman NDB COM 385, Coleman, TX 76834, USA",TX,Coleman,Coleman County,76834
720779,31.64,-96.515,"Mexia, TX 76667, USA",TX,Mexia,,76667
720926,30.071,-94.216,"455 Keith Rd, Beaumont, TX 77713, USA",TX,Beaumont,Jefferson County,77713
