items1,item2
10,1122
35,46
3235,3236
1252,1253
378,379
3255,3256
3254,3255
3233,3235
1076,1178
1,256
3254,3256
3624,3627
199,29
199,28
1076,83
1076,1367
13,406
3516,3518
3516,3519
1331,2676
3256,527
3256,616
189,8
3257,3259
3257,3258
11,1227
12,1227
3517,3518
3517,3519
171,172
172,65
1118,29
1118,28
235,237
372,453
3385,3397
39,982
39,760
125,3385
198,29
198,28
198,27
422,684
421,684
684,685
1084,1106
1084,502
3125,982
3125,760
3125,3130
1,19
18,19
163,164
3518,3519
3134,66
288,3134
286,3134
258,3134
287,3134
259,3134
3129,3134
3134,3233
3127,3134
1616,67
184,946
35,356
1074,232
3258,621
3258,616
3258,3259
422,685
421,685
632,633
11,12
138,1708
1708,66
3358,3360
412,69
175,211
175,213
211,3627
3627,57
284,69
284,72
1,58
138,772
772,946
76,772
772,81
637,772
59,772
133,138
133,76
3259,621
3259,616
114,138
113,114
3127,66
288,3127
286,3127
258,3127
287,3127
259,3127
260,3127
3127,3129
3126,3127
3596,66
288,3596
3129,3596
3595,3596
193,92
1074,193
193,91
1733,1734
3404,3442
188,189
188,200
599,991
3130,66
3130,982
3130,981
3130,760
3130,826
3128,3130
3130,62
3129,3130
371,372
136,66
136,288
136,286
136,258
136,287
136,259
136,260
136,3129
189,200
210,213
211,213
1,18
91,92
1074,91
413,69
1,1074
1074,92
171,65
138,3595
3128,3595
3442,3595
3233,3595
69,70
70,71
70,72
285,70
138,1412
1412,76
1412,81
1412,637
1412,3128
1412,59
1412,60
1412,587
138,2968
2968,76
2968,81
2968,637
2968,3128
2968,59
2968,77
2968,60
294,295
166,301
138,3234
3128,3234
3129,3234
3126,3234
3233,3234
1106,502
420,422
210,57
211,57
2676,79
421,422
283,69
283,72
1150,138
1008,207
313,422
210,211
259,35
285,69
285,71
285,72
1,126
125,126
1,1853
138,3223
1612,3223
1,10
10,527
10,1612
138,804
1612,804
171,804
1,55
54,55
138,3233
3233,66
3233,76
3233,81
3128,3233
3233,59
3129,3233
3126,3233
138,587
587,76
288,587
587,81
587,637
3128,587
587,59
587,77
587,60
1928,2079
138,3442
3442,47
180,399
391,47
167,391
388,391
358,37
36,37
33,399
27,527
27,29
27,28
138,3126
3126,76
3126,81
3126,3128
3126,59
3126,60
3126,3129
138,349
349,946
349,76
349,81
349,637
349,59
349,60
388,47
167,388
138,354
354,66
354,982
354,76
354,81
354,637
3128,354
354,59
354,77
354,60
162,946
3358,69
2310,527
2310,621
2310,616
2498,78
2498,709
22,2498
2498,2499
1,290
3310,3311
167,47
28,527
1612,28
28,29
280,281
138,36
358,36
258,36
138,3129
3129,66
3129,982
1612,3129
3129,981
3129,760
288,3129
286,3129
3128,3129
258,3129
287,3129
259,3129
260,3129
1,307
307,946
138,60
1,60
60,946
60,66
60,76
60,81
286,60
60,637
3128,60
59,60
60,77
3261,40
3373,527
2499,3373
3373,621
3373,616
138,54
1,54
54,946
682,69
138,77
77,946
66,77
76,77
77,81
637,77
3128,77
59,77
138,260
1,260
260,66
260,982
260,76
260,760
260,288
260,286
260,826
260,3128
258,260
260,59
260,287
259,260
260,62
493,946
493,794
138,62
62,69
62,66
62,982
62,981
62,760
288,62
286,62
62,826
258,62
287,62
259,62
138,259
259,66
259,982
259,76
259,981
259,760
259,288
259,286
259,637
258,259
259,287
138,287
1,287
287,69
287,66
287,982
1612,287
287,76
287,981
287,760
287,288
286,287
287,826
287,3128
258,287
287,59
69,72
71,72
138,235
1,235
235,946
29,527
138,171
1,171
171,946
171,69
171,66
138,59
1,59
59,946
59,66
59,982
59,76
288,59
59,81
286,59
113,59
59,637
3128,59
138,3310
1,3310
138,258
1,258
258,69
258,66
258,982
1612,258
258,981
258,760
258,288
258,286
258,826
138,3128
3128,946
3128,66
3128,76
288,3128
3128,81
286,3128
3128,637
138,637
637,946
637,66
637,76
637,981
40,637
637,81
113,637
788,89
138,71
69,71
138,358
358,946
138,826
69,826
66,826
826,982
826,981
760,826
288,826
286,826
794,946
113,138
113,946
113,66
113,76
113,81
138,300
1,300
300,946
300,527
124,300
1612,300
138,286
1,286
286,527
286,69
286,66
286,982
1612,286
286,76
286,981
286,760
286,288
286,81
1,368
368,527
368,69
368,78
138,2935
1,2935
2935,527
2935,69
2935,78
2935,709
22,2935
2499,2935
1612,2935
138,81
1,81
81,946
66,81
76,81
125,138
1,125
125,946
124,125
138,40
40,946
138,288
1,288
288,527
288,69
288,66
288,982
1612,288
288,76
288,981
288,760
138,616
1,616
616,946
527,616
616,78
22,616
2499,616
616,621
138,760
527,760
69,760
66,760
760,982
1612,760
76,760
760,981
138,981
527,981
69,981
66,981
981,982
1612,981
76,981
138,76
1,76
76,946
66,76
76,982
76,788
138,788
788,946
138,1612
1,1612
1612,527
1612,69
1612,66
1612,709
124,1612
1612,2499
1612,621
1612,982
138,982
1,982
527,982
69,982
66,982
709,982
138,621
1,621
621,946
527,621
621,78
22,621
2499,621
138,2499
1,2499
2499,946
2499,527
2499,69
2499,78
2499,709
124,2499
22,2499
138,22
1,22
22,946
22,527
22,69
22,78
22,709
124,22
124,138
1,124
124,946
124,527
124,78
124,709
138,709
1,709
709,946
527,709
69,709
709,78
66,709
138,66
1,66
66,946
527,66
66,69
138,78
1,78
78,946
527,78
69,78
138,69
1,69
527,69
138,527
1,527
138,946
1,946
1,138
